iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
69	0.2320141559	0.9244536609	0.9140300415
70	0.2316996527	0.9244536609	0.9140300415
71	0.2313667689	0.9244536609	0.9140300415
72	0.2308529413	0.9244536609	0.9140300415
73	0.2302372695	0.9244536609	0.9140300415
74	0.2297283161	0.9244536609	0.9140300415
75	0.2291060989	0.9246913939	0.9143496325
76	0.2288594958	0.9246913939	0.9143496325
77	0.2283748211	0.9246913939	0.9143496325
78	0.2281685181	0.9246913939	0.9143496325
79	0.2278337372	0.9251513919	0.9149888143
80	0.2274388402	0.9257303591	0.9156279962
81	0.2270220742	0.9257303591	0.9156279962
82	0.2265347638	0.9260645887	0.9159475871
83	0.2261861918	0.9258336378	0.9156279962
84	0.2258525577	0.9260645887	0.9159475871
85	0.225415711	0.9262870916	0.916267178
86	0.2248843113	0.926294786	0.916267178
87	0.2245992795	0.9261781511	0.916267178
88	0.2243809262	0.9261781511	0.916267178
89	0.2235120261	0.926409102	0.9165867689
90	0.223031977	0.9267433316	0.9169063599
91	0.2227794166	0.9267433316	0.9169063599
92	0.2222094777	0.9265123807	0.9165867689
93	0.2214975254	0.9267433316	0.9169063599
94	0.2208875949	0.9265123807	0.9165867689
95	0.220613618	0.9261781511	0.916267178
96	0.2202407542	0.9265123807	0.9165867689
97	0.2198133829	0.9261781511	0.916267178
98	0.2192926028	0.9261781511	0.916267178
99	0.2188091402	0.9261781511	0.916267178
100	0.2180913567	0.9261781511	0.916267178
101	0.2176262846	0.9261781511	0.916267178
102	0.2171539795	0.9261781511	0.916267178
103	0.2166659196	0.9264730454	0.9165867689
104	0.2163798162	0.926807275	0.9169063599
105	0.2159196784	0.926807275	0.9169063599
106	0.2152630695	0.926807275	0.9169063599
107	0.2149990868	0.9270232337	0.9172259508
108	0.2144366987	0.9270232337	0.9172259508
109	0.2138535106	0.9270232337	0.9172259508
110	0.2136071833	0.9272695337	0.9175455417
111	0.2132903059	0.9272695337	0.9175455417
112	0.2129889826	0.9272695337	0.9175455417
113	0.2124466598	0.9272695337	0.9175455417
114	0.2118506191	0.9272695337	0.9175455417
115	0.2113158632	0.9272695337	0.9175455417
116	0.2109481362	0.9276047074	0.9178651326
117	0.2104214324	0.9275004846	0.9178651326
118	0.209840198	0.9275004846	0.9178651326
119	0.209321459	0.9275004846	0.9178651326
120	0.2088947523	0.9278356582	0.9181847236
121	0.208138265	0.9280733913	0.9185043145
122	0.2075985829	0.9278356582	0.9181847236
123	0.2069071829	0.9278356582	0.9181847236
124	0.2066424999	0.9280733913	0.9185043145
125	0.2064079483	0.9280733913	0.9185043145
126	0.2060636157	0.9280733913	0.9185043145
127	0.2054349664	0.9280733913	0.9185043145
128	0.2050502587	0.9280733913	0.9185043145
129	0.2045509697	0.9280733913	0.9185043145
130	0.2042755996	0.9280733913	0.9185043145
131	0.2036211495	0.9280733913	0.9185043145
132	0.20326461	0.9280733913	0.9185043145
133	0.2030269548	0.9280733913	0.9185043145
134	0.2025579728	0.9280733913	0.9185043145
135	0.202399504	0.9280733913	0.9185043145
136	0.2021281752	0.9280733913	0.9185043145
137	0.201766782	0.9280733913	0.9185043145
138	0.2012566774	0.9283406157	0.9188239054
139	0.200711441	0.9283406157	0.9188239054
140	0.200427457	0.9283406157	0.9188239054
141	0.2000820119	0.9283406157	0.9188239054
142	0.1994871015	0.9288766639	0.9194630872
143	0.199250878	0.9291277233	0.9197826782
144	0.1988151566	0.9288766639	0.9194630872
145	0.1984853723	0.9288021011	0.9194630872
146	0.1982071575	0.9288021011	0.9194630872
147	0.1978893309	0.9288021011	0.9194630872
148	0.197404142	0.9288021011	0.9194630872
149	0.1970383542	0.9290531605	0.9197826782
150	0.1965248842	0.9290531605	0.9197826782
151	0.196107836	0.9290531605	0.9197826782
152	0.1955556479	0.92943507	0.9201022691
153	0.1949999273	0.9297551594	0.92042186
154	0.1946121892	0.9297309459	0.92042186
155	0.1942659809	0.9301318505	0.9207414509
156	0.1939875008	0.9301318505	0.9207414509
157	0.1936767568	0.9301318505	0.9207414509
158	0.1932822387	0.9301318505	0.9207414509
159	0.1928708773	0.9301318505	0.9207414509
160	0.192696552	0.9301318505	0.9207414509
161	0.1922389545	0.9301318505	0.9207414509
162	0.1919414352	0.9303620875	0.9210610419
163	0.1914187451	0.9306076141	0.9213806328
164	0.1912332422	0.9306076141	0.9213806328
165	0.1907913691	0.9306076141	0.9213806328
166	0.1905684594	0.9306076141	0.9213806328
167	0.1900257183	0.9306076141	0.9213806328
168	0.1897468989	0.9311024338	0.9217002237
169	0.1895573358	0.9308569071	0.9213806328
170	0.1893572068	0.9313741372	0.9220198146
171	0.1890890758	0.9311024338	0.9217002237
172	0.1886964703	0.9308569071	0.9213806328
173	0.1884747002	0.9308569071	0.9213806328
174	0.1880820987	0.9310922605	0.9217002237
175	0.1877336927	0.9305974408	0.9213806328
176	0.1874796525	0.9305974408	0.9213806328
177	0.1873921115	0.9305974408	0.9213806328
178	0.1869215033	0.9305974408	0.9213806328
179	0.1865670961	0.9305974408	0.9213806328
180	0.1864575823	0.9311056874	0.9220198146
181	0.1860778925	0.9316005071	0.9223394056
182	0.1856906549	0.9316005071	0.9223394056
183	0.1854529367	0.9316005071	0.9223394056
184	0.1852029139	0.9318722105	0.9226589965
185	0.1846534309	0.9313773908	0.9223394056
186	0.184377828	0.9313773908	0.9223394056
187	0.1839855049	0.9313773908	0.9223394056
188	0.1837577377	0.9315969488	0.9226589965
189	0.183351496	0.9318724987	0.9229785874
190	0.1829608162	0.9324090632	0.9236177693
191	0.1828656486	0.9324090632	0.9236177693
192	0.1825494111	0.9321635366	0.9232981783
193	0.1821692432	0.9326583562	0.9236177693
194	0.1820088139	0.9321635366	0.9232981783
195	0.1816977629	0.9321635366	0.9232981783
196	0.1814141455	0.9321635366	0.9232981783
197	0.1812055622	0.9318724987	0.9229785874
198	0.1808398141	0.9323108839	0.9232981783
199	0.1807024688	0.9320653573	0.9229785874
200	0.1802516327	0.9328057035	0.9236177693
201	0.1798646059	0.9326019217	0.9236177693
